"driver_name","team","grid","positionOrder","laps","status","race_gap_reason"
"Damon Hill","Jordan","3",1,44,"Finished","Completed the race normally compared with the leader."
"Ralf Schumacher","Jordan","8",2,44,"Finished","Completed the race normally compared with the leader."
"Jean Alesi","Sauber","10",3,44,"Finished","Completed the race normally compared with the leader."
"Heinz-Harald Frentzen","Williams","9",4,44,"Finished","Completed the race normally compared with the leader."
"Pedro Diniz","Arrows","16",5,44,"Finished","Completed the race normally compared with the leader."
"Jarno Trulli","Prost","13",6,42,"+2 Laps","Finished +2 Laps behind the leader, so the race trace line appears much higher."
"David Coulthard","McLaren","2",7,39,"+5 Laps","Finished +5 Laps behind the leader, so the race trace line appears much higher."
"Shinji Nakano","Minardi","21",8,39,"+5 Laps","Finished +5 Laps behind the leader, so the race trace line appears much higher."
"Giancarlo Fisichella","Benetton","7",9,26,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Michael Schumacher","Ferrari","4",10,25,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Eddie Irvine","Ferrari","5",11,25,"Spun off","Did not complete the full race because of Spun off so the line stops early or separates."
"Esteban Tuero","Minardi","22",12,17,"Gearbox","Did not complete the full race because of Gearbox so the line stops early or separates."
"Jacques Villeneuve","Williams","6",13,16,"Spun off","Did not complete the full race because of Spun off so the line stops early or separates."
"Toranosuke Takagi","Tyrrell","19",14,10,"Spun off","Did not complete the full race because of Spun off so the line stops early or separates."
"Jos Verstappen","Stewart","17",15,8,"Engine","Did not complete the full race because of Engine so the line stops early or separates."
"Mika Häkkinen","McLaren","1",16,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Alexander Wurz","Benetton","11",17,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Johnny Herbert","Sauber","12",18,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Rubens Barrichello","Stewart","15",19,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Olivier Panis","Prost","14",20,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Mika Salo","Arrows","18",21,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
"Ricardo Rosset","Tyrrell","20",22,0,"Collision","Did not complete the full race because of Collision so the line stops early or separates."
